dataset_name,performance,time_used
abalone,2.23152,201
airbnb_melbourne,0.38385,85
airlines,0.65269,175
bioresponse,0.88237,163
camo_sem_seg,-9999,-9999
cd18,-1.28779,84
climate_fever,0.12326,1029
covertype,0.95669,84
electricity_hourly,-9999,-9999
europeanflooddepth,0.43519,219
fiqabeir,0.19906,171
gnad10,0.84789,116
ham10000,0.51061,471
hateful_meme,0.5723,119
isic2017,0.11121,473
kick_starter_funding,0.36185,109
memotion,-9999,-9999
mldoc,0.93303,221
nn5_daily_without_missing,-9999,-9999
petfinder,0.39625,115
road_segmentation,-9999,-9999
rvl_cdip,-9999,-9999
solar_10_minutes,-9999,-9999
women_clothing_review,0.41876,73
yolanda,9.0908,135
