dataset_name,performance,time_used
abalone,2.1957,352
airbnb_melbourne,0.08723,797
airlines,0.61806,234
bioresponse,0.79976,333
camo_sem_seg,0.46412,813
cd18,-4.14541,2934
climate_fever,0.23054,849
covertype,0.87599,120
electricity_hourly,-9999,-9999
europeanflooddepth,0.7069,347
fiqabeir,0.22496,4573
gnad10,0.87194,219
ham10000,-9999,-9999
hateful_meme,-9999,-9999
isic2017,-9999,-9999
kick_starter_funding,0.33486,522
memotion,0.65549,4394
mldoc,0.92837,872
nn5_daily_without_missing,1.45867,8994
petfinder,0.38516,1803
road_segmentation,0.44351,10253
rvl_cdip,-9999,-9999
solar_10_minutes,-9999,-9999
women_clothing_review,0.65875,390
yolanda,8.93118,307
