metric,mean,std
abalone_performance,2.190465156601962,0.024645668654951536
abalone_time_used,269.0,77.77317446695015
airbnb_melbourne_performance,0.24248999999999998,0.15525999999999998
airbnb_melbourne_time_used,563.0,234.0
airlines_performance,0.6348487057168261,0.01190191723844018
airlines_time_used,272.0,110.28448062473099
bioresponse_performance,0.8259798632010944,0.03599731960991088
bioresponse_time_used,379.0,212.34563020384164
camo_sem_seg_performance,0.46412,0.0
camo_sem_seg_time_used,813.0,0.0
cd18_performance,-1.5671175647029816,1.8461955284438838
cd18_time_used,1144.6666666666667,1265.4417761749803
climate_fever_performance,0.24186609120521135,0.011326091205211343
climate_fever_time_used,1828.5,979.5
covertype_performance,0.881325,0.005334999999999979
covertype_time_used,404.0,284.0
electricity_hourly_performance,1.7538118427073373,0.0011118427073373294
electricity_hourly_time_used,5635.0,4787.0
europeanflooddepth_performance,0.5955613002364065,0.08634849431530761
europeanflooddepth_time_used,508.3333333333333,236.69577285809078
fiqabeir_performance,0.22496,0.0
fiqabeir_time_used,4573.0,0.0
gnad10_performance,0.8759401307273361,0.005149214672556152
gnad10_time_used,372.3333333333333,242.0169874662153
ham10000_performance,0.67106,0.0
ham10000_time_used,6045.0,0.0
hateful_meme_performance,0.34587967162329614,0.03609032837670384
hateful_meme_time_used,2079.5,1441.5
isic2017_performance,-9999.0,-9999.0
isic2017_time_used,-9999.0,-9999.0
kick_starter_funding_performance,0.35974194413818444,0.05952618269245011
kick_starter_funding_time_used,585.6666666666666,153.31956459920204
memotion_performance,0.8270012929061785,0.1715112929061785
memotion_time_used,3044.5,1349.5
mldoc_performance,0.9447650000000001,0.016394999999999993
mldoc_time_used,1198.0,326.0
nn5_daily_without_missing_performance,1.1409784649475037,0.3176915350524962
nn5_daily_without_missing_time_used,4579.5,4414.5
petfinder_performance,0.3782551570968124,0.01552758633130982
petfinder_time_used,1827.0,1225.6788595169073
road_segmentation_performance,0.31117043705508174,0.13233956294491825
road_segmentation_time_used,7059.5,3193.5
rvl_cdip_performance,0.88617,0.0
rvl_cdip_time_used,4829.0,0.0
solar_10_minutes_performance,-9999.0,-9999.0
solar_10_minutes_time_used,-9999.0,-9999.0
women_clothing_review_performance,0.6577510682130346,0.03254636288918705
women_clothing_review_time_used,474.6666666666667,245.8188131305025
yolanda_performance,8.93241774964599,0.0332156927153551
yolanda_time_used,311.6666666666667,19.871811414385174
success_rate,0.6933333333333334,0.04988876515698588
success_rate,0.6933333333333334,0.04988876515698588
