dataset_name,performance,time_used
abalone,2.119769515075539,111
airbnb_melbourne,0.427898073449776,998
airlines,0.6575935969522474,442
bioresponse,0.814466484268126,497
camo_sem_seg,0.838986658534102,2192
cd18,0.4947390462316753,501
climate_fever,0.471433224755701,342
covertype,0.97605988551153,2634
electricity_hourly,1.4274447131626853,1848
europeanflooddepth,0.6901408450704225,615
fiqabeir,0.5067818455549936,416
gnad10,0.9107954773003814,725
ham10000,0.5554920637414477,771
hateful_meme,0.586756077116513,663
kick_starter_funding,0.470513402998637,770
memotion,0.4834668192219679,4460
mldoc,0.9486983157961708,3588
nn5_daily_without_missing,0.764843560738741,485
petfinder,0.3872274895046583,747
road_segmentation,-9999,-9999
solar_10_minutes,0.7037935347892686,666
women_clothing_review,0.747970700263977,1068
yolanda,8.533146214219686,2007
isic2017,-9999,-9999
rvl_cdip,-9999,-9999
