dataset_name,performance,time_used
abalone,2.119769515075539,107
airbnb_melbourne,0.4151669676460332,901
airlines,0.6575935969522474,406
bioresponse,0.8012995896032832,174
camo_sem_seg,0.8349356904420479,4304
cd18,0.4947390462316753,494
climate_fever,0.4762649294245389,3001
covertype,0.97605988551153,1924
electricity_hourly,1.395576733254012,1012
europeanflooddepth,0.6804597701149425,541
fiqabeir,0.4935874011105491,219
gnad10,0.8370921031697727,745
ham10000,0.5554920637414477,752
hateful_meme,0.586756077116513,653
isic2017,-9999,-9999
kick_starter_funding,0.4375178181127055,742
memotion,0.5072368421052632,2696
mldoc,0.9477617009942438,2970
nn5_daily_without_missing,0.7638840042934528,201
petfinder,0.3872274895046583,743
road_segmentation,0.5968362388082141,2047
rvl_cdip,-9999,-9999
solar_10_minutes,-9999,-9999
women_clothing_review,0.6571611966654569,590
yolanda,8.533146214219686,1983
