dataset_name,performance,time_used
abalone,2.1348,115
airbnb_melbourne,0.42251,3217
airlines,0.65585,1232
bioresponse,0.79685,178
camo_sem_seg,0.84072,2239
cd18,0.44537,166
climate_fever,-9999,-9999
covertype,0.97606,2652
electricity_hourly,1.40586,848
europeanflooddepth,0.68046,504
fiqabeir,0.3756,462
gnad10,0.83709,709
ham10000,-9999,-9999
hateful_meme,0.57067,648
isic2017,-9999,-9999
kick_starter_funding,0.43752,2437
memotion,-9999,-9999
mldoc,0.94796,1117
nn5_daily_without_missing,0.76484,219
petfinder,0.38723,714
road_segmentation,-9999,-9999
rvl_cdip,0.87144,2461
solar_10_minutes,1.28565,871
women_clothing_review,0.74797,1073
yolanda,8.53315,1908
