dataset_name,performance,time_used
abalone,2.158005469805887,290
airlines,0.6442861171504781,160
bioresponse,0.8012995896032832,145
cd18,0.0783473058910552,277
climate_fever,0.2531921824104227,2808
electricity_hourly,1.7549236854146746,10422
europeanflooddepth,0.4964539007092198,843
gnad10,0.8726703921820085,184
hateful_meme,0.3097893432465923,638
kick_starter_funding,0.3025358324145534,438
memotion,0.998512585812357,1695
nn5_daily_without_missing,0.8232869298950075,165
petfinder,0.3928554712904371,3340
road_segmentation,0.1788308741101635,3866
rvl_cdip,-9999,-9999
yolanda,8.973703248937976,338
airbnb_melbourne,-9999,-9999
camo_sem_seg,-9999,-9999
covertype,-9999,-9999
fiqabeir,-9999,-9999
ham10000,-9999,-9999
isic2017,-9999,-9999
mldoc,-9999,-9999
solar_10_minutes,-9999,-9999
women_clothing_review,0.6971032046391039,809
