dataset_name,performance,time_used
abalone,2.1348,142
airbnb_melbourne,0.42639,1202
airlines,0.65585,1285
bioresponse,0.8013,3050
camo_sem_seg,0.83318,4089
cd18,0.44537,215
climate_fever,0.47635,649
covertype,0.97606,1963
electricity_hourly,1.43603,875
europeanflooddepth,0.68046,524
fiqabeir,0.48166,370
gnad10,0.83709,717
ham10000,0.55549,815
hateful_meme,0.57067,682
isic2017,0.75106,4139
kick_starter_funding,0.43752,1330
memotion,0.5025,3852
mldoc,0.95639,3699
nn5_daily_without_missing,0.76484,251
petfinder,0.38723,701
road_segmentation,0.46623,2069
rvl_cdip,0.87084,2979
solar_10_minutes,2.27289,800
women_clothing_review,0.74797,958
yolanda,8.53315,2066
