dataset_name,performance,time_used
abalone,2.3508117299081364,299
airbnb_melbourne,0.3838489145404108,86
airlines,0.6280997565945943,81
bioresponse,0.8801727086183311,117
camo_sem_seg,-9999,-9999
cd18,-1.3617152247417137,125
climate_fever,0.2306840390879474,155
women_clothing_review,0.5886639235133244,127
covertype,0.8409973672999792,75
electricity_hourly,-9999,-9999
europeanflooddepth,-9999,-9999
fiqabeir,0.1985407382398122,120
gnad10,0.8453020108435153,131
ham10000,0.4514515843512126,75
hateful_meme,0.4030668127053669,61
isic2017,-9999,-9999
kick_starter_funding,0.2850307587149692,76
memotion,0.8193363844393593,152
mldoc,0.73850179018581,172
nn5_daily_without_missing,-9999,-9999
petfinder,0.3962508866930075,67
road_segmentation,-9999,-9999
rvl_cdip,-9999,-9999
solar_10_minutes,1.2856539530302675,221
yolanda,9.59808823630102,75
