dataset_name,performance,time_used
abalone,2.08725,385
airbnb_melbourne,0.42786,3857
airlines,0.73133,3939
bioresponse,-9999,-9999
camo_sem_seg,-9999,-9999
cd18,-0.85746,1061
climate_fever,-9999,-9999
covertype,0.97578,7634
electricity_hourly,-9999,-9999
europeanflooddepth,0.69492,738
fiqabeir,-9999,-9999
gnad10,0.85018,3453
ham10000,0.5692,1703
hateful_meme,0.60732,2060
isic2017,-9999,-9999
kick_starter_funding,0.32731,3309
memotion,-9999,-9999
mldoc,0.94745,4236
nn5_daily_without_missing,-9999,-9999
petfinder,0.40495,3355
road_segmentation,-9999,-9999
rvl_cdip,-9999,-9999
solar_10_minutes,-9999,-9999
women_clothing_review,0.72367,5132
yolanda,8.53315,7263
